"Department","Year","Metropole","Main river","Unemployment rate","Median income","Share single parents","PM2.5 concentration","Population","Log population","Log median income"
"Charente",2014,0,0,10.15,19450,13.2985891834444,10.3369876914055,366787,12.8125365770788,9.87560234904659
"Charente",2015,0,0,10.175,19627.3333333333,13.5860009988782,11.9671687216624,366289,12.811177918286,9.88467843154907
"Charente",2016,0,0,9.775,19816.0655737705,14.0590429940121,10.1569587222741,365697,12.8095604006584,9.89424828029626
"Charente",2017,0,0,8.975,20070,14.4236620215943,10.0402751643618,361539,12.7981251985793,9.90698144179038
"Charente-Maritime",2012,0,0,9.95,19144,12.5577259139147,12.7485728278459,648031,13.3816938136963,9.85974462958821
"Charente-Maritime",2013,0,0,10.575,19631,12.7674489769128,13.4265098588133,652610,13.3887349863461,9.88486522840803
"Charente-Maritime",2014,0,0,10.55,19800,13.0017671588559,10.2888153874814,656046,13.393986187419,9.89343721668263
"Charente-Maritime",2015,0,0,10.85,20032,13.2662605985232,12.0581036414292,658529,13.3977638386794,9.90508627389982
"Charente-Maritime",2016,0,0,10.4,20270,13.753650832772,10.2888643893777,660458,13.4006888127319,9.91689723944605
"Charente-Maritime",2017,0,0,9.6,20610,13.866671237552,10.3067377188123,659968,13.3999466279787,9.9335316738845
"Cher",2012,0,1,9.8,18973.8095238095,12.8434737833418,12.0013401149161,320019,12.6761356480133,9.85081486110247
"Cher",2013,0,1,10.4,19440.7142857143,13.0371973680009,13.2381007392614,319693,12.6751164392812,9.87512482043172
"Cher",2014,0,1,10.25,19617,13.3293030997979,9.5576709829505,318590,12.671660288646,9.88415181622939
"Cher",2015,0,1,10.575,19772,13.540949296107,10.8678257900554,317101,12.6669756141008,9.89202207442685
"Cher",2016,0,1,10.425,19932.5,13.8585969382227,9.67184612479977,315100,12.6606453277454,9.90010684437665
"Cher",2017,0,1,9.825,20240,14.1503955969904,9.00176756990154,311456,12.6490133552262,9.9154161234014
"Correze",2012,0,1,7.55,18880,11.6253848264738,11.0245676302857,249856,12.4286400308927,9.84585843969949
"Correze",2013,0,1,8.15,19345.6,11.9732480237996,11.2066814517059,249452,12.4270217908958,9.87022028241998
"Correze",2014,0,1,8,19537,12.4138735729037,8.6746193837168,249684,12.4279513973226,9.88006538259163
"Correze",2015,0,1,8.3,19902.6666666667,12.5268797742934,10.0229564035194,250077,12.4295241494221,9.89860900508502
"Correze",2016,0,1,8.2,20082.0833333333,12.6953685327372,8.75945308252519,249707,12.4280435095153,9.90758332008386
"Correze",2017,0,1,7.475,20410,12.9255413903509,8.20342947726592,249135,12.4257501972012,9.92378025580389
"Corse-du-Sud",2012,0,0,8.7,19068,17.9874292702043,12.6312586105795,147823,11.9037708910863,9.85576681632472
"Corse-du-Sud",2013,0,0,9.225,19490.5,18.2484087552792,11.4766421714506,151621,11.9291392650245,9.87768244635418
"Corse-du-Sud",2014,0,0,9.375,19731.5,18.2654588738992,11.9196141568904,154100,11.9453570213082,9.88997162248261
"Corse-du-Sud",2015,0,0,9.675,20072.6666666667,17.8987572941713,11.673954982521,155285,11.9530174172214,9.90711430125848
"Corse-du-Sud",2016,0,0,9.375,20366.6666666667,18.0684846339982,10.86561782129,156958,11.9637335326181,9.92165485649158
"Corse-du-Sud",2017,0,0,9.05,20860,18.068059051247,10.8962103850698,159768,11.9814780419486,9.94558872855476
"Cote-d'Or",2012,1,0,7.95,20462,12.6433219281683,12.369455823223,541517,13.2021297392056,9.92632478643888
"Cote-d'Or",2013,1,0,8.525,20855.2666666667,12.9796090232991,13.2685599996468,543648,13.2060572575816,9.94536179325113
"Cote-d'Or",2014,1,0,8.425,21034.6666666667,13.3133077568838,9.8094157963568,545001,13.2085429085061,9.9539271492942
"Cote-d'Or",2015,1,0,8.65,21223.75,13.3941374617981,10.9336319473239,546601,13.2114743819658,9.96287611663022
"Cote-d'Or",2016,1,0,8.35,21394,13.6430572908728,9.71906032705857,546466,13.2112273705737,9.97086578786608
"Cote-d'Or",2017,1,0,7.675,21680,13.9070220353857,9.08546650726666,545798,13.2100042229037,9.98414545555358
"Cotes-d'Armor",2012,0,0,8.225,19341.4285714286,11.0064325399729,12.0110494726003,616013,13.3310233461891,9.87000463243385
