"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
16,"Wed","2021-12-15","20:30","Augsburg",1.4,"1-1",2.4,"RB Leipzig",NA,"WWK Arena","Florian Badstübner","Match Report",""
16,"Wed","2021-12-15","20:30","Dortmund",1.8,"3-0",0.6,"Greuther Fürth",15000,"Signal Iduna Park","Daniel Schlager","Match Report",""
16,"Wed","2021-12-15","20:30","Union Berlin",1.8,"0-0",1.4,"Freiburg",5000,"Stadion An der Alten Försterei","Deniz Aytekin","Match Report",""
16,"Wed","2021-12-15","20:30","Leverkusen",2,"2-2",1.9,"Hoffenheim",13272,"BayArena","Tobias Stieler","Match Report",""
17,"Fri","2021-12-17","20:30","Bayern Munich",3.2,"4-0",1.2,"Wolfsburg",NA,"Allianz Arena","Tobias Welz","Match Report",""
17,"Sat","2021-12-18","15:30","Greuther Fürth",0.1,"0-0",1.2,"Augsburg",NA,"Sportpark Ronhof Thomas Sommer","Sascha Stegemann","Match Report",""
17,"Sat","2021-12-18","15:30","Bochum",0.9,"0-1",1,"Union Berlin",13500,"Vonovia Ruhrstadion","Tobias Reichel","Match Report",""
17,"Sat","2021-12-18","15:30","Eint Frankfurt",2,"1-0",0.8,"Mainz 05",15000,"Commerzbank-Arena","Felix Brych","Match Report",""
17,"Sat","2021-12-18","15:30","Hoffenheim",2.3,"1-1",1.6,"M'Gladbach",750,"PreZero Arena","Sven Jablonski","Match Report",""
17,"Sat","2021-12-18","15:30","RB Leipzig",2,"0-2",0.6,"Arminia",NA,"Red Bull Arena","Frank Willenborg","Match Report",""
17,"Sat","2021-12-18","18:30","Hertha BSC",1.6,"3-2",1.2,"Dortmund",5000,"Olympiastadion Berlin","Marco Fritz","Match Report",""
17,"Sun","2021-12-19","15:30","Freiburg",2,"2-1",1,"Leverkusen",750,"Europa-Park Stadion","Benjamin Cortus","Match Report",""
17,"Sun","2021-12-19","17:30","Köln",1.1,"1-0",0.4,"Stuttgart",15000,"RheinEnergieSTADION","Bastian Dankert","Match Report",""
18,"Fri","2022-01-07","20:30","Bayern Munich",1.7,"1-2",1.1,"M'Gladbach",NA,"Allianz Arena","Daniel Siebert","Match Report",""
18,"Sat","2022-01-08","15:30","RB Leipzig",3.3,"4-1",0.4,"Mainz 05",NA,"Red Bull Arena","Deniz Aytekin","Match Report",""
