"INSEE_COM","CITY","MED16"
77223,"Gurcy-le-Châtel",22.7206666666667
77224,"Hautefeuille",24.4472222222222
77225,"La Haute-Maison",22.5306451612903
77226,"Héricy",27.3472727272727
77227,"Hermé",21.0871428571429
77228,"Hondevilliers",22.5905
77229,"La Houssaye-en-Brie",25.6080769230769
77230,"Ichy",22.1075
77231,"Isles-les-Meldeuses",21.655625
77232,"Isles-lès-Villenoy",26.177619047619
77233,"Iverny",23.6103333333333
77234,"Jablines",26.3865
77235,"Jaignes",23.5855
77236,"Jaulnes",22.8239285714286
77237,"Jossigny",25.4610555555556
77238,"Jouarre",21.2628571428571
77239,"Jouy-le-Châtel",21.9252173913043
77240,"Jouy-sur-Morin",20.7577777777778
77241,"Juilly",24.2172222222222
77242,"Jutigny",21.5413333333333
77243,"Lagny-sur-Marne",22.9928
77244,"Larchant",24.401724137931
77245,"Laval-en-Brie",22.5125806451613
77246,"Léchelle",21.2284
77247,"Lescherolles",21.76
77248,"Lesches",29.6077777777778
77249,"Lésigny",29.15625
77250,"Leudon-en-Brie",22.9573333333333
77251,"Lieusaint",21.922
77252,"Limoges-Fourches",25.7777777777778
77253,"Lissy",25.8504761904762
77254,"Liverdy-en-Brie",26.4682608695652
77255,"Livry-sur-Seine",26.2175
77256,"Lizines",22.4484615384615
77257,"Lizy-sur-Ourcq",17.8761538461538
77258,"Lognes",20.743
77259,"Longperrier",23.6528
77260,"Longueville",18.6864285714286
77261,"Lorrez-le-Bocage-Préaux",21.4893333333333
77262,"Louan-Villegruis-Fontaine",20.9417391304348
77263,"Luisetaines",21.1857142857143
77264,"Lumigny-Nesles-Ormeaux",24.7465384615385
77265,"Luzancy",21.6173333333333
77266,"Machault",24.6726666666667
77267,"La Madeleine-sur-Loing",23.019
77268,"Magny-le-Hongre",27.2870833333333
77269,"Maincy",25.6939130434783
77270,"Maisoncelles-en-Brie",26.436
77271,"Maisoncelles-en-Gâtinais",22.1034782608696
77272,"Maison-Rouge",22.82
77273,"Marchémoret",24.7365
77274,"Marcilly",24.48875
77275,"Les Marêts",21.84
77276,"Mareuil-lès-Meaux",24.304
77277,"Marles-en-Brie",25.3666666666667
77278,"Marolles-en-Brie",24.3786666666667
77279,"Marolles-sur-Seine",22.1461111111111
77280,"Mary-sur-Marne",24.0538095238095
77281,"Mauperthuis",24.9066666666667
77282,"Mauregard",23.0689361702128
77283,"May-en-Multien",21.9353333333333
77284,"Meaux",18.259
77285,"Le Mée-sur-Seine",17.6427777777778
77286,"Meigneux",24.987
77287,"Meilleray",19.5975
77288,"Melun",17.4670833333333
77289,"Melz-sur-Seine",21.09
77290,"Méry-sur-Marne",23.814
77291,"Le Mesnil-Amelot",21.31
77292,"Messy",26.8422222222222
77293,"Misy-sur-Yonne",22.505
77294,"Mitry-Mory",21.3333333333333
77295,"Moisenay",27.6980952380952
77296,"Moissy-Cramayel",20.508
77297,"Mondreville",23.158
77298,"Mons-en-Montois",22.256
77300,"Montceaux-lès-Meaux",25.5882051282051
77301,"Montceaux-lès-Provins",21.0797635135135
77302,"Montcourt-Fromonville",24.3976666666667
77303,"Montdauphin",21.83
77304,"Montenils",NA
77305,"Montereau-Fault-Yonne",14.9333333333333
77306,"Montereau-sur-le-Jard",26.721
77307,"Montévrain",24.8367741935484
77308,"Montgé-en-Goële",25.905
77309,"Monthyon",24.0645263157895
77310,"Montigny-le-Guesdier",22.2166666666667
77311,"Montigny-Lencoup",23.2677777777778
77312,"Montigny-sur-Loing",26.051
77313,"Montmachoux",24.5533333333333
77314,"Montolivet",21.7608333333333
77315,"Montry",25.462
77316,"Moret-Loing-et-Orvanne",24.9966666666667
77317,"Mormant",20.8728571428571
77318,"Mortcerf",24.9036
77319,"Mortery",21.772
77320,"Mouroux",22.8913333333333
77321,"Mousseaux-lès-Bray",20.5286666666667
77322,"Moussy-le-Neuf",25.257619047619
77323,"Moussy-le-Vieux",24.5814285714286
77325,"Mouy-sur-Seine",21.7464
77326,"Nandy",22.2490476190476
77327,"Nangis",18.1933333333333
77328,"Nanteau-sur-Essonne",25.396
77329,"Nanteau-sur-Lunain",25.0824242424242
77330,"Nanteuil-lès-Meaux",23.738
77331,"Nanteuil-sur-Marne",21.182
77332,"Nantouillet",25.1384
77333,"Nemours",17.6770833333333
77335,"Chauconin-Neufmontiers",24.268
77336,"Neufmoutiers-en-Brie",25.6915416666667
77337,"Noisiel",19.2866666666667
77338,"Noisy-Rudignon",22.9585714285714
77339,"Noisy-sur-École",30.5115
77340,"Nonville",25.8995652173913
77341,"Noyen-sur-Seine",21.457619047619
77342,"Obsonville",23.9593333333333
77343,"Ocquerre",22.9387096774194
77344,"Oissery",24.958
77345,"Orly-sur-Morin",22.855
77347,"Les Ormes-sur-Voulzie",21.8393260869565
77348,"Ormesson",27.558
77349,"Othis",24.8126666666667
77350,"Ozoir-la-Ferrière",25.322
77352,"Ozouer-le-Voulgis",26.0544
77353,"Paley",25.3571428571429
77354,"Pamfou",23.8435714285714
77355,"Paroy",24.0104761904762
77356,"Passy-sur-Seine",NA
77357,"Pécy",23.2884
77358,"Penchard",25.32
77359,"Perthes",27.158
77360,"Pézarches",24.4877777777778
77361,"Pierre-Levée",24.369
77363,"Le Pin",25.4626666666667
77364,"Le Plessis-aux-Bois",22.72
77365,"Le Plessis-Feu-Aussoux",25.7472222222222
77366,"Le Plessis-l'Évêque",25.045
77367,"Le Plessis-Placy",21.943
77368,"Poigny",20.8185714285714
77369,"Poincy",26.4812
77370,"Poligny",23.9844444444444
77371,"Pommeuse",23.2704
77372,"Pomponne",25.351
77373,"Pontault-Combault",22.717
77374,"Pontcarré",26.1295652173913
77376,"Précy-sur-Marne",25.2646428571429
77377,"Presles-en-Brie",25.632
77378,"Pringy",25.1285714285714
77379,"Provins",17.595
77380,"Puisieux",25.1760869565217
77381,"Quiers",24.334
77382,"Quincy-Voisins",25.5338888888889
77383,"Rampillon",23.6719047619048
77384,"Réau",24.1803571428571
77385,"Rebais",19.5206666666667
77386,"Recloses",27.1873333333333
77387,"Remauville",23.4303571428571
77388,"Reuil-en-Brie",23.748
77389,"La Rochette",26.4553333333333
77390,"Roissy-en-Brie",22.2024
77391,"Rouilly",22.1333333333333
77392,"Rouvres",26.0290476190476
77393,"Rozay-en-Brie",23.3186666666667
77394,"Rubelles",27.006
77395,"Rumont",23.4406666666667
77396,"Rupéreux",23.9495833333333
77397,"Saâcy-sur-Marne",21.524
77398,"Sablonnières",21.5053333333333
77400,"Saint-Augustin",24.8532
